trade,principal_trading_partners,2015,2016,2017,2018,2019,2020,2021,series
Balances,Algeria,-426.0,-1261.0,-219.0,268.0,632.0,581.0,569.0,Goods trade
Balances,Australia,414.0,80.0,305.0,326.0,341.0,213.0,103.0,Goods trade
Balances,Belgium,-38.0,173.0,-430.0,-1479.0,-3045.0,-2586.0,-1446.0,Goods trade
Balances,Brazil,-917.0,-1148.0,-2153.0,-2463.0,-2510.0,-3667.0,-1976.0,Goods trade
Balances,China,-17545.0,-15314.0,-17741.0,-17282.0,-22373.0,-23248.0,-10572.0,Goods trade
Balances,European Union excluding the United Kingdom,-21773.0,-20712.0,-23702.0,-25931.0,-28558.0,-22291.0,-12562.0,Goods trade
Balances,France,-1316.0,-928.0,-1010.0,-1566.0,-1595.0,-866.0,-722.0,Goods trade
Balances,Germany,-11089.0,-10152.0,-10832.0,-11500.0,-9722.0,-7503.0,-4231.0,Goods trade
Balances,Hong Kong,-396.0,-1738.0,-1812.0,-179.0,-18.0,-2201.0,-264.0,Goods trade
Balances,India,1544.0,1102.0,1425.0,495.0,889.0,-59.0,-935.0,Goods trade
Balances,Indonesia,691.0,355.0,627.0,1046.0,780.0,755.0,659.0,Goods trade
Balances,Iraq,186.0,132.0,4.0,207.0,152.0,92.0,38.0,Goods trade
Balances,Italy,-3062.0,-3143.0,-3722.0,-3484.0,-3619.0,-2887.0,-2177.0,Goods trade
Balances,Japan,-668.0,-749.0,-1331.0,573.0,490.0,2602.0,820.0,Goods trade
Balances,Mexico,-10544.0,-10019.0,-12054.0,-11360.0,-12102.0,-9951.0,-4708.0,Goods trade
Balances,Netherlands,-659.0,-1882.0,-2202.0,-1070.0,-1244.0,845.0,-79.0,Goods trade
Balances,Norway,243.0,100.0,93.0,1300.0,691.0,1472.0,1148.0,Goods trade
Balances,Other European Union countries not elsewhere classified,-4513.0,-4544.0,-4926.0,-6316.0,-7592.0,-7815.0,-3324.0,Goods trade
Balances,Other countries not elsewhere classified,-5641.0,-8238.0,-9422.0,-7340.0,-7454.0,-8278.0,-4499.0,Goods trade
Balances,Peru,-2288.0,-1537.0,-824.0,-295.0,-2528.0,-2573.0,-1234.0,Goods trade
Balances,Russian Federation,-15.0,151.0,88.0,-108.0,-395.0,141.0,101.0,Goods trade
Balances,Saudi Arabia,-780.0,-368.0,-1124.0,-1849.0,-245.0,15.0,880.0,Goods trade
Balances,Singapore,647.0,364.0,297.0,-243.0,-36.0,111.0,-450.0,Goods trade
Balances,South Korea,-2319.0,-4323.0,-1666.0,-2151.0,-2595.0,-2679.0,-1518.0,Goods trade
Balances,Spain,-1098.0,-238.0,-580.0,-516.0,-1742.0,-1479.0,-584.0,Goods trade
Balances,Switzerland,-4065.0,-4032.0,-3717.0,-5343.0,-5737.0,-5371.0,-1712.0,Goods trade
Balances,Taiwan,-1894.0,-1365.0,-1523.0,-1633.0,-1603.0,-1551.0,-480.0,Goods trade
Balances,Total of all countries,-23751.0,-25048.0,-24499.0,-19832.0,-15361.0,-37514.0,4533.0,Goods trade
Balances,Turkey,178.0,173.0,-53.0,-435.0,344.0,-180.0,-401.0,Goods trade
Balances,United Kingdom,7873.0,10233.0,10664.0,8967.0,12123.0,12012.0,4677.0,Goods trade
Balances,United States,33740.0,33068.0,39336.0,43603.0,54350.0,26538.0,36853.0,Goods trade
Payments,Algeria,1035.0,1838.0,911.0,238.0,57.0,41.0,19.0,Goods trade
Payments,Australia,1490.0,1853.0,1714.0,1704.0,1942.0,1948.0,1003.0,Goods trade
Payments,Belgium,3214.0,3132.0,4070.0,5387.0,6343.0,5385.0,3185.0,Goods trade
Payments,Brazil,3160.0,3209.0,3924.0,4706.0,4752.0,5824.0,2997.0,Goods trade
Payments,China,38963.0,37661.0,42732.0,46358.0,46863.0,49551.0,25822.0,Goods trade
